ID,name,chain,rmsd_AR,align_len_AR,rmsd_GR,align_len_GR,rmsd_PHBEACH,align_len_PHBEACH
7cxj_A,7cxj,A,2.035,207,1.759,203,4.294,107
7cxk_A,7cxk,A,2.081,208,1.916,207,4.308,104
7cxl_A,7cxl,A,1.981,207,1.78,205,4.254,105
7jtm_A,7jtm,A,2.064,201,2.157,198,4.257,102
7jtw_A,7jtw,A,2.017,200,2.173,200,4.46,105
7jym_A,7jym,A,2.012,199,2.17,198,4.455,104
7kqj_A,7kqj,A,1.97,197,2.193,199,4.287,102
7kxd_A,7kxd,A,2.038,200,2.159,198,4.169,101
7kxe_A,7kxe,A,2.011,199,2.197,199,4.462,105
7kxf_A,7kxf,A,2.05,200,2.171,198,4.202,102
7luk_A,7luk,A,2.115,201,2.216,198,4.517,106
7n2a_A,7n2a,A,2.103,200,1.889,193,4.614,116
7nfw_A,7nfw,A,4.145,107,4.036,105,3.626,90
7niz_A,7niz,A,4.255,112,4.001,101,4.16,104
7obp_A,7obp,A,3.944,74,3.726,68,3.864,79
7obp_B,7obp,B,4.654,82,3.519,66,3.904,77
7obp_C,7obp,C,4.015,69,3.848,68,3.978,77
7obp_D,7obp,D,4.33,80,4.03,70,3.896,77
7obp_E,7obp,E,3.921,73,3.958,69,3.906,79
7obp_F,7obp,F,3.932,74,3.533,66,4.494,71
7ofi_A,7ofi,A,2.013,199,2.131,198,4.489,105
7ofk_A,7ofk,A,2.063,200,2.161,198,4.504,105
7opw_A,7opw,A,4.202,112,4.019,110,3.701,92
7oq7_A,7oq7,A,4.311,109,4.001,107,4.649,108
7oq8_C,7oq8,C,4.27,111,4.068,104,4.669,108
7prv_A,7prv,A,1.19,238,0.914,248,4.673,137
7prv_B,7prv,B,1.289,240,0.857,247,4.191,113
7prw_A,7prw,A,1.28,245,0.815,251,4.538,135
7prw_B,7prw,B,1.22,242,0.781,252,4.245,116
7pwt_A,7pwt,A,4.216,111,3.589,94,3.812,89
7pwz_A,7pwz,A,4.142,109,3.639,94,3.825,88
7qdt_A,7qdt,A,2.026,184,1.918,176,4.322,102
7rio_A,7rio,A,2.121,201,2.073,198,4.675,117
7riu_A,7riu,A,2.147,201,1.933,193,4.523,114
7riv_A,7riv,A,2.106,200,2.021,196,4.622,113
7sqa_A,7sqa,A,2.086,191,1.682,185,4.448,114
7sqa_B,7sqa,B,2.124,191,1.929,191,4.412,112
7w0g_A,7w0g,A,2.15,209,1.83,204,4.145,107
7w0g_B,7w0g,B,2.129,209,1.878,206,4.165,108
7wgo_A,7wgo,A,2.016,204,1.855,204,4.057,110
7wgp_A,7wgp,A,2.035,203,1.872,203,4.605,115
7wgq_A,7wgq,A,2.092,205,1.952,207,4.207,111
7wnh_A,7wnh,A,2.103,199,2.154,193,4.265,96
7wnh_B,7wnh,B,1.794,198,1.96,197,4.241,97
7wnh_C,7wnh,C,2.188,202,2.246,199,4.533,99
7wnh_D,7wnh,D,1.877,203,2.145,204,4.649,99
7xqe_B,7xqe,B,2.102,166,2.024,163,4.204,94
7xv6_A,7xv6,A,3.517,57,3.808,60,3.787,50
7xv6_B,7xv6,B,3.292,49,3.948,55,4.425,60
7xv6_C,7xv6,C,99.0,0,99.0,0,99.0,0
7xv6_D,7xv6,D,99.0,0,99.0,0,99.0,0
7xv8_A,7xv8,A,3.555,51,3.285,50,3.732,50
7xv8_B,7xv8,B,3.237,49,2.562,44,3.888,50
7xv9_A,7xv9,A,3.178,49,3.342,51,3.894,54
7xv9_B,7xv9,B,3.172,49,3.206,50,3.907,54
7xvn_A,7xvn,A,3.308,50,3.925,55,3.957,51
7xvn_B,7xvn,B,3.031,45,2.928,44,4.006,45
7xvn_C,7xvn,C,3.581,51,3.97,56,3.702,48
7xvn_D,7xvn,D,2.825,43,3.725,49,3.972,45
7yfk_A,7yfk,A,2.008,200,1.975,197,4.67,111
7yfk_B,7yfk,B,2.127,202,2.006,197,4.309,111
7yo9_A,7yo9,A,3.973,58,3.389,71,3.85,73
8a9g_A,8a9g,A,4.211,112,3.933,102,3.847,87
8a9g_B,8a9g,B,3.894,104,4.02,103,3.923,92
8afn_A,8afn,A,4.383,111,4.057,105,4.092,95
8ai0_A,8ai0,A,4.356,113,4.077,105,3.607,90
8alr_A,8alr,A,4.296,112,4.08,105,3.615,90
8alt_A,8alt,A,4.376,113,4.025,104,3.654,91
8alv_A,8alv,A,4.375,111,4.092,105,3.664,91
8alw_A,8alw,A,4.348,113,4.086,105,3.66,91
8am7_A,8am7,A,4.372,111,4.033,104,3.591,90
8anf_A,8anf,A,4.405,114,4.024,104,3.652,91
8aoy_A,8aoy,A,4.354,113,4.03,104,3.65,91
8aps_A,8aps,A,4.368,111,4.033,104,3.481,87
8aq1_A,8aq1,A,4.36,111,4.025,104,3.481,87
8aqc_A,8aqc,A,4.342,113,4.08,105,3.66,91
8aqe_A,8aqe,A,4.362,113,4.03,104,3.665,91
8aqm_A,8aqm,A,2.22,177,2.127,178,4.277,101
8aqm_B,8aqm,B,2.21,181,1.996,179,4.339,108
8aqn_A,8aqn,A,2.236,178,2.325,183,4.281,103
8aqn_B,8aqn,B,2.225,181,1.955,179,4.316,101
8aqz_A,8aqz,A,4.347,113,4.031,104,3.662,91
8ar4_A,8ar4,A,4.419,114,4.029,104,3.665,91
8ar5_A,8ar5,A,4.352,113,4.086,105,3.659,91
8ar6_A,8ar6,A,3.89,73,3.956,73,3.903,79
8ar6_B,8ar6,B,4.306,80,4.466,78,3.926,77
8ar6_C,8ar6,C,4.321,80,4.025,70,3.918,77
8ar9_A,8ar9,A,3.789,72,4.479,78,4.134,81
8arg_A,8arg,A,4.328,110,4.026,104,3.658,91
8aro_A,8aro,A,4.352,113,4.032,104,3.659,91
8arq_A,8arq,A,4.365,111,4.02,104,3.616,90
8arr_A,8arr,A,4.155,109,4.091,105,3.67,91
8arw_A,8arw,A,4.14,107,4.024,104,3.661,91
8arx_A,8arx,A,4.36,113,4.083,105,3.658,91
8ary_A,8ary,A,4.146,110,4.032,104,3.652,91
8arz_A,8arz,A,4.406,114,4.039,104,3.667,91
8as1_A,8as1,A,4.339,113,4.034,104,3.62,90
8as9_A,8as9,A,3.633,73,4.188,81,3.714,81
8as9_B,8as9,B,3.836,71,4.0,73,3.709,82
8as9_C,8as9,C,3.54,92,4.152,104,4.415,112
8at9_A,8at9,A,4.343,113,4.082,105,3.607,90
8atp_A,8atp,A,4.354,113,4.091,105,3.661,91
8au2_A,8au2,A,4.315,112,4.029,104,3.663,91
8aus_A,8aus,A,4.35,113,4.03,104,3.663,91
8auy_A,8auy,A,4.147,107,4.024,104,3.625,90
8av3_A,8av3,A,4.15,110,3.903,99,3.489,87
8av4_A,8av4,A,4.382,111,4.066,105,3.658,91
8av7_A,8av7,A,4.135,107,4.047,105,3.649,91
8av8_A,8av8,A,4.365,115,4.412,115,4.255,110
8awg_A,8awg,A,4.142,110,4.01,101,3.446,87
8axe_A,8axe,A,4.327,113,4.03,104,3.755,92
8axu_A,8axu,A,4.15,107,4.018,104,3.618,90
8aze_A,8aze,A,4.358,113,4.03,104,3.668,91
8b39_A,8b39,A,4.358,113,4.099,105,3.662,91
8b4q_A,8b4q,A,4.121,109,4.051,102,4.499,106
8b8w_A,8b8w,A,1.944,195,1.743,194,4.255,108
8b8w_B,8b8w,B,1.952,191,1.848,193,4.038,99
8b8x_A,8b8x,A,2.122,199,1.857,197,4.247,109
8b8x_B,8b8x,B,2.088,192,1.87,191,4.306,111
8b8y_A,8b8y,A,1.916,192,1.695,191,4.231,107
8b8y_B,8b8y,B,1.954,191,1.87,193,4.058,99
8b8z_A,8b8z,A,2.065,196,1.689,191,4.143,108
8b8z_B,8b8z,B,2.038,192,1.751,189,4.121,101
8b90_A,8b90,A,2.05,196,1.621,190,4.19,108
8b91_A,8b91,A,1.945,194,1.756,194,4.197,108
8b91_B,8b91,B,1.971,191,1.761,190,4.096,100
8b92_A,8b92,A,1.865,190,1.786,193,4.056,100
8b92_B,8b92,B,1.96,191,1.77,190,4.104,99
8b93_A,8b93,A,1.949,191,1.647,188,4.218,102
8b93_B,8b93,B,1.978,192,1.768,190,3.94,98
8b94_A,8b94,A,1.927,193,1.636,191,4.111,106
8b94_B,8b94,B,1.939,191,1.708,189,4.055,99
8b95_A,8b95,A,1.952,195,1.734,194,4.173,106
8b95_B,8b95,B,1.964,191,1.761,190,4.12,99
8bf1_A,8bf1,A,2.12,205,1.901,204,4.11,103
8bjg_A,8bjg,A,4.181,111,4.047,102,4.603,108
8bjn_A,8bjn,A,4.128,109,4.06,102,4.543,107
8bm5_A,8bm5,A,4.126,110,4.052,102,3.637,91
8bwj_A,8bwj,A,4.158,107,4.081,105,3.675,91
8bwx_A,8bwx,A,4.16,107,4.088,105,3.635,90
8bwz_A,8bwz,A,4.145,107,4.02,104,3.626,90
8bx0_A,8bx0,A,4.378,111,4.073,105,3.637,90
8bx3_A,8bx3,A,4.433,114,4.026,104,3.677,91
8bx4_A,8bx4,A,4.158,107,4.091,105,3.671,91
8bxi_A,8bxi,A,4.273,109,4.081,105,3.626,90
8bxm_A,8bxm,A,4.154,107,4.075,105,3.629,90
8bxn_A,8bxn,A,4.174,107,3.939,103,3.888,92
8bxo_A,8bxo,A,4.162,107,4.069,105,3.882,92
8bxq_A,8bxq,A,4.102,108,4.068,105,3.499,87
8bxs_A,8bxs,A,4.164,107,4.028,104,3.633,90
8by9_A,8by9,A,4.154,107,4.067,105,3.497,87
8byb_A,8byb,A,4.16,107,4.084,105,3.635,90
8byc_A,8byc,A,4.371,113,4.028,104,3.639,90
8byd_A,8byd,A,4.423,114,4.068,105,3.675,91
8bye_A,8bye,A,4.358,113,4.097,105,3.679,91
8byf_A,8byf,A,4.357,113,4.062,105,3.673,91
8byy_A,8byy,A,4.151,107,4.022,104,3.628,90
8byz_A,8byz,A,4.139,107,4.052,105,3.474,87
8bz0_A,8bz0,A,4.307,112,4.063,105,3.482,87
8bz9_A,8bz9,A,4.357,112,3.983,107,3.62,90
8bza_A,8bza,A,4.151,107,4.064,105,3.484,87
8bzb_A,8bzb,A,4.42,114,4.018,104,3.674,91
8bzc_A,8bzc,A,4.419,114,4.016,104,3.68,91
8bzd_A,8bzd,A,4.125,109,3.805,101,3.83,91
8bze_A,8bze,A,4.12,110,4.068,105,3.627,90
8bzf_A,8bzf,A,4.134,109,4.07,105,3.632,90
8bzg_A,8bzg,A,4.119,110,3.859,99,3.868,92
8bzh_A,8bzh,A,4.131,110,3.935,109,3.823,91
8bzt_A,8bzt,A,4.119,110,4.063,105,3.882,92
8bzw_A,8bzw,A,4.408,114,4.06,105,3.671,91
8c04_A,8c04,A,4.395,114,4.008,104,3.667,91
8c0k_A,8c0k,A,4.383,111,4.095,105,3.682,91
8c0l_A,8c0l,A,4.127,107,4.068,105,3.633,90
8c42_A,8c42,A,4.369,111,4.062,105,3.656,91
8c4f_A,8c4f,A,4.147,107,4.076,105,3.476,87
8c4g_A,8c4g,A,4.14,110,4.074,105,3.48,87
8c5l_A,8c5l,A,2.631,166,2.383,161,4.335,109
8c5l_B,8c5l,B,2.441,158,2.234,155,4.243,106
8cct_A,8cct,A,2.039,199,1.94,194,4.62,118
8cf9_A,8cf9,A,2.099,201,1.944,195,4.454,115
8ch8_A,8ch8,A,2.055,199,1.963,195,4.55,116
8ck3_A,8ck3,A,3.803,65,3.51,59,3.623,57
8ck3_B,8ck3,B,3.078,57,3.445,62,4.113,66
8ck4_A,8ck4,A,3.802,65,3.749,61,4.292,60
8ck4_B,8ck4,B,3.305,61,3.753,65,3.521,54
8ck8_A,8ck8,A,3.545,63,3.648,60,3.863,60
8ck8_B,8ck8,B,3.442,61,3.917,67,4.098,66
8dkn_A,8dkn,A,2.386,177,2.237,179,4.379,103
8dkv_A,8dkv,A,2.34,178,2.214,179,4.31,104
8dsy_B,8dsy,B,2.122,201,2.012,202,4.279,110
8dsz_A,8dsz,A,2.062,204,1.837,203,4.277,107
8dsz_B,8dsz,B,2.018,197,1.838,196,4.237,105
8e3n_A,8e3n,A,2.156,202,2.04,197,4.557,112
8eqz_A,8eqz,A,2.03,200,2.028,199,4.574,116
8eqz_B,8eqz,B,2.151,203,1.967,196,4.528,116
8f5y_A,8f5y,A,1.987,200,1.954,197,4.326,112
8fav_A,8fav,A,2.087,195,2.194,195,4.1,104
8fav_B,8fav,B,2.191,198,2.242,197,4.49,111
8fb1_A,8fb1,A,2.079,194,2.278,197,4.171,106
8fb1_B,8fb1,B,2.18,198,2.264,198,4.157,106
8fb2_A,8fb2,A,2.046,193,2.209,195,4.363,108
8fb2_B,8fb2,B,2.124,195,2.229,196,4.356,107
8fhe_B,8fhe,B,2.202,176,2.091,176,4.279,102
8fhg_B,8fhg,B,2.239,178,1.995,176,4.231,100
8fkc_A,8fkc,A,2.191,176,2.04,176,4.294,101
8fkd_A,8fkd,A,2.129,174,2.099,177,4.565,108
8fke_A,8fke,A,2.296,179,2.145,178,4.372,102
8fkf_A,8fkf,A,2.202,177,2.077,178,4.389,103
8fkg_A,8fkg,A,2.241,179,2.183,181,4.009,77
8fpe_A,8fpe,A,2.103,200,2.049,198,4.54,111
8g4a_A,8g4a,A,3.622,61,4.048,61,3.827,55
8g4a_B,8g4a,B,3.501,60,3.928,59,3.645,55
8gxp_A,8gxp,A,2.075,201,2.192,199,4.478,105
8hf8_A,8hf8,A,2.159,207,1.924,204,4.259,104
8hum_A,8hum,A,2.069,206,1.929,207,4.104,110
8hup_A,8hup,A,2.012,205,1.782,203,4.452,122
8ifo_A,8ifo,A,3.373,50,3.358,51,3.7,49
8ifo_B,8ifo,B,3.458,54,3.345,54,4.564,61
8ifo_F,8ifo,F,3.373,50,3.394,51,3.837,51
8pbo_A,8pbo,A,2.114,207,1.949,206,4.219,105
8pbo_B,8pbo,B,2.095,204,1.74,196,4.111,105
8rm6_A,8rm6,A,3.359,48,3.152,46,3.896,47
8rm6_B,8rm6,B,3.455,49,3.333,47,3.901,47
8rm7_A,8rm7,A,3.547,49,3.244,48,3.951,47
8rm7_B,8rm7,B,3.418,47,3.203,48,3.806,46
8svn_A,8svn,A,2.035,201,1.878,195,4.541,118
8svn_B,8svn,B,2.089,201,1.961,196,4.399,113
8svo_A,8svo,A,2.137,204,2.142,203,4.224,107
8svo_B,8svo,B,2.034,199,1.975,197,4.57,114
8svp_A,8svp,A,2.065,202,1.99,199,4.468,112
8svp_B,8svp,B,2.029,199,1.946,196,4.09,106
8svq_A,8svq,A,2.1,203,1.979,198,4.427,112
8svq_B,8svq,B,2.168,203,1.97,196,4.634,116
8svr_A,8svr,A,2.108,203,1.952,197,4.593,119
8svr_B,8svr,B,2.139,202,2.047,198,4.353,113
8svs_A,8svs,A,2.004,200,1.972,198,4.37,113
8svs_B,8svs,B,2.033,199,1.95,196,4.17,107
8svt_A,8svt,A,2.139,205,2.082,201,4.348,111
8svt_B,8svt,B,2.077,201,1.985,197,4.483,113
8svu_A,8svu,A,2.095,203,1.981,198,4.259,109
8svu_B,8svu,B,2.115,202,1.963,196,4.453,113
8svx_A,8svx,A,2.035,201,1.96,197,4.572,115
8svx_B,8svx,B,2.123,202,1.97,196,4.518,115
8szv_A,8szv,A,2.268,205,2.014,197,4.443,112
8t31_A,8t31,A,4.061,59,3.497,72,3.451,62
8t31_C,8t31,C,3.947,58,3.313,71,3.525,63
8t31_E,8t31,E,4.044,59,3.398,71,3.522,63
8t31_G,8t31,G,4.041,59,3.397,71,3.467,62
8t31_I,8t31,I,3.954,58,3.424,71,3.769,66
8t32_A,8t32,A,4.274,62,3.609,74,3.363,61
8t33_A,8t33,A,4.046,59,3.669,74,3.842,67
8xs8_A,8xs8,A,3.255,62,3.307,60,4.16,73
8xs8_B,8xs8,B,4.513,85,3.556,73,4.412,76
8xsb_A,8xsb,A,3.248,62,3.577,63,3.933,88
8xsb_B,8xsb,B,3.86,76,3.873,75,4.019,69
9beq_A,9beq,A,2.108,199,1.962,194,4.564,113
9cwn_A,9cwn,A,2.028,204,1.908,205,4.082,105
