,dimer1,dimer2,similarity
641,6S4N_AB,5HJS_AB,0.894
642,6S4N_AB,5JJM_AB,0.996
643,6S4N_AB,5JJM_AC,0.986
644,6S4N_AB,5JJM_AD,0.996
645,6S4N_AB,5JJM_BC,0.98
646,6S4N_AB,5JJM_BD,0.986
647,6S4N_AB,5JJM_CD,0.996
648,6S4N_AB,5X8Q_CE,0.996
649,6S4N_AB,5X8Q_CG,0.996
650,6S4N_AB,5X8Q_EG,0.996
651,6S4N_AB,6A22_AC,0.996
652,6S4N_AB,6A22_AE,0.996
653,6S4N_AB,6A22_AG,0.996
654,6S4N_AB,6A22_CE,0.996
655,6S4N_AB,6A22_CG,0.996
656,6S4N_AB,6A22_EG,0.996
657,6S4N_AB,6IVX_AC,0.996
658,6S4N_AB,6IVX_AE,0.996
659,6S4N_AB,6IVX_CE,0.996
660,6S4N_AB,6S4N_AC,0.978
661,6S4N_AB,6S4N_BC,0.896
662,6S4N_AB,6S4N_DA,0.874
663,6S4N_AB,6S4N_DB,0.996
664,6S4N_AB,6S4N_DC,1.0
665,6S4N_AB,7E2O_AB,0.91
666,6S4N_AB,8X7E_EG,0.996
667,6S4N_AC,3IPS_AB,0.884
668,6S4N_AC,3IPU_AB,0.882
669,6S4N_AC,5AVI_AC,0.882
670,6S4N_AC,5HJS_AB,0.88
671,6S4N_AC,5JJM_AB,0.982
672,6S4N_AC,5JJM_AC,0.972
673,6S4N_AC,5JJM_AD,0.982
674,6S4N_AC,5JJM_BC,0.966
675,6S4N_AC,5JJM_BD,0.972
676,6S4N_AC,5JJM_CD,0.982
677,6S4N_AC,5X8Q_CE,0.982
678,6S4N_AC,5X8Q_CG,0.982
679,6S4N_AC,5X8Q_EG,0.982
680,6S4N_AC,6A22_AC,0.982
681,6S4N_AC,6A22_AE,0.982
682,6S4N_AC,6A22_AG,0.982
683,6S4N_AC,6A22_CE,0.982
684,6S4N_AC,6A22_CG,0.982
685,6S4N_AC,6A22_EG,0.982
686,6S4N_AC,6IVX_AC,0.982
687,6S4N_AC,6IVX_AE,0.982
688,6S4N_AC,6IVX_CE,0.982
689,6S4N_AC,6S4N_AB,0.978
690,6S4N_AC,6S4N_BC,0.882
691,6S4N_AC,6S4N_DA,0.86
692,6S4N_AC,6S4N_DB,0.982
693,6S4N_AC,6S4N_DC,0.978
694,6S4N_AC,7E2O_AB,0.896
695,6S4N_AC,8X7E_EG,0.982
696,6S4N_BC,3IPS_AB,0.978
697,6S4N_BC,3IPU_AB,0.972
698,6S4N_BC,5AVI_AC,0.972
699,6S4N_BC,5HJS_AB,0.974
700,6S4N_BC,5JJM_AB,0.9
701,6S4N_BC,5JJM_AC,0.89
702,6S4N_BC,5JJM_AD,0.9
703,6S4N_BC,5JJM_BC,0.884
704,6S4N_BC,5JJM_BD,0.89
705,6S4N_BC,5JJM_CD,0.9
706,6S4N_BC,5X8Q_CE,0.9
707,6S4N_BC,5X8Q_CG,0.9
708,6S4N_BC,5X8Q_EG,0.9
709,6S4N_BC,6A22_AC,0.9
710,6S4N_BC,6A22_AE,0.9
711,6S4N_BC,6A22_AG,0.9
712,6S4N_BC,6A22_CE,0.9
713,6S4N_BC,6A22_CG,0.9
714,6S4N_BC,6A22_EG,0.9
715,6S4N_BC,6IVX_AC,0.9
716,6S4N_BC,6IVX_AE,0.9
717,6S4N_BC,6IVX_CE,0.9
718,6S4N_BC,6S4N_AB,0.896
719,6S4N_BC,6S4N_AC,0.882
720,6S4N_BC,6S4N_DA,0.978
721,6S4N_BC,6S4N_DB,0.9
722,6S4N_BC,6S4N_DC,0.896
723,6S4N_BC,7E2O_AB,0.934
724,6S4N_BC,8X7E_EG,0.9
725,6S4N_DA,3IPS_AB,0.976
726,6S4N_DA,3IPU_AB,0.978
727,6S4N_DA,5AVI_AC,0.978
728,6S4N_DA,5HJS_AB,0.98
729,6S4N_DA,5JJM_AB,0.878
730,6S4N_DA,5JJM_AC,0.868
731,6S4N_DA,5JJM_AD,0.878
732,6S4N_DA,5JJM_BC,0.862
733,6S4N_DA,5JJM_BD,0.868
734,6S4N_DA,5JJM_CD,0.878
735,6S4N_DA,5X8Q_CE,0.878
736,6S4N_DA,5X8Q_CG,0.878
737,6S4N_DA,5X8Q_EG,0.878
738,6S4N_DA,6A22_AC,0.878
739,6S4N_DA,6A22_AE,0.878
740,6S4N_DA,6A22_AG,0.878
741,6S4N_DA,6A22_CE,0.878
742,6S4N_DA,6A22_CG,0.878
743,6S4N_DA,6A22_EG,0.878
744,6S4N_DA,6IVX_AC,0.878
745,6S4N_DA,6IVX_AE,0.878
746,6S4N_DA,6IVX_CE,0.878
747,6S4N_DA,6S4N_AB,0.874
748,6S4N_DA,6S4N_AC,0.86
749,6S4N_DA,6S4N_BC,0.978
750,6S4N_DA,6S4N_DB,0.878
751,6S4N_DA,6S4N_DC,0.874
752,6S4N_DA,7E2O_AB,0.932
753,6S4N_DA,8X7E_EG,0.878
754,6S4N_DB,3IPS_AB,0.902
755,6S4N_DB,3IPU_AB,0.9
756,6S4N_DB,5AVI_AC,0.9
757,6S4N_DB,5HJS_AB,0.898
758,6S4N_DB,5JJM_AB,1.0
759,6S4N_DB,5JJM_AC,0.99
760,6S4N_DB,5JJM_AD,1.0
761,6S4N_DB,5JJM_BC,0.984
762,6S4N_DB,5JJM_BD,0.99
763,6S4N_DB,5JJM_CD,1.0
764,6S4N_DB,5X8Q_CE,1.0
765,6S4N_DB,5X8Q_CG,1.0
766,6S4N_DB,5X8Q_EG,1.0
767,6S4N_DB,6A22_AC,1.0
768,6S4N_DB,6A22_AE,1.0
769,6S4N_DB,6A22_AG,1.0
770,6S4N_DB,6A22_CE,1.0
771,6S4N_DB,6A22_CG,1.0
772,6S4N_DB,6A22_EG,1.0
773,6S4N_DB,6IVX_AC,1.0
774,6S4N_DB,6IVX_AE,1.0
775,6S4N_DB,6IVX_CE,1.0
776,6S4N_DB,6S4N_AB,0.996
777,6S4N_DB,6S4N_AC,0.982
778,6S4N_DB,6S4N_BC,0.9
779,6S4N_DB,6S4N_DA,0.878
780,6S4N_DB,6S4N_DC,0.996
781,6S4N_DB,7E2O_AB,0.914
782,6S4N_DB,8X7E_EG,1.0
783,6S4N_DC,3IPS_AB,0.898
784,6S4N_DC,3IPU_AB,0.896
785,6S4N_DC,5AVI_AC,0.896
786,6S4N_DC,5HJS_AB,0.894
787,6S4N_DC,5JJM_AB,0.996
788,6S4N_DC,5JJM_AC,0.986
789,6S4N_DC,5JJM_AD,0.996
790,6S4N_DC,5JJM_BC,0.98
791,6S4N_DC,5JJM_BD,0.986
792,6S4N_DC,5JJM_CD,0.996
793,6S4N_DC,5X8Q_CE,0.996
794,6S4N_DC,5X8Q_CG,0.996
795,6S4N_DC,5X8Q_EG,0.996
796,6S4N_DC,6A22_AC,0.996
797,6S4N_DC,6A22_AE,0.996
798,6S4N_DC,6A22_AG,0.996
799,6S4N_DC,6A22_CE,0.996
800,6S4N_DC,6A22_CG,0.996
801,6S4N_DC,6A22_EG,0.996
802,6S4N_DC,6IVX_AC,0.996
803,6S4N_DC,6IVX_AE,0.996
804,6S4N_DC,6IVX_CE,0.996
805,6S4N_DC,6S4N_AB,1.0
806,6S4N_DC,6S4N_AC,0.978
807,6S4N_DC,6S4N_BC,0.896
808,6S4N_DC,6S4N_DA,0.874
809,6S4N_DC,6S4N_DB,0.996
810,6S4N_DC,7E2O_AB,0.91
811,6S4N_DC,8X7E_EG,0.996
812,7E2O_AB,3IPS_AB,0.956
813,7E2O_AB,3IPU_AB,0.95
814,7E2O_AB,5AVI_AC,0.95
815,7E2O_AB,5HJS_AB,0.952
816,7E2O_AB,5JJM_AB,0.914
817,7E2O_AB,5JJM_AC,0.904
818,7E2O_AB,5JJM_AD,0.914
819,7E2O_AB,5JJM_BC,0.898
820,7E2O_AB,5JJM_BD,0.904
821,7E2O_AB,5JJM_CD,0.914
822,7E2O_AB,5X8Q_CE,0.914
823,7E2O_AB,5X8Q_CG,0.914
824,7E2O_AB,5X8Q_EG,0.914
825,7E2O_AB,6A22_AC,0.914
826,7E2O_AB,6A22_AE,0.914
827,7E2O_AB,6A22_AG,0.914
828,7E2O_AB,6A22_CE,0.914
829,7E2O_AB,6A22_CG,0.914
830,7E2O_AB,6A22_EG,0.914
831,7E2O_AB,6IVX_AC,0.914
832,7E2O_AB,6IVX_AE,0.914
833,7E2O_AB,6IVX_CE,0.914
834,7E2O_AB,6S4N_AB,0.91
835,7E2O_AB,6S4N_AC,0.896
836,7E2O_AB,6S4N_BC,0.934
837,7E2O_AB,6S4N_DA,0.932
838,7E2O_AB,6S4N_DB,0.914
839,7E2O_AB,6S4N_DC,0.91
840,7E2O_AB,8X7E_EG,0.914
841,8X7E_EG,3IPS_AB,0.902
842,8X7E_EG,3IPU_AB,0.9
843,8X7E_EG,5AVI_AC,0.9
844,8X7E_EG,5HJS_AB,0.898
845,8X7E_EG,5JJM_AB,1.0
846,8X7E_EG,5JJM_AC,0.99
847,8X7E_EG,5JJM_AD,1.0
848,8X7E_EG,5JJM_BC,0.984
849,8X7E_EG,5JJM_BD,0.99
850,8X7E_EG,5JJM_CD,1.0
851,8X7E_EG,5X8Q_CE,1.0
852,8X7E_EG,5X8Q_CG,1.0
853,8X7E_EG,5X8Q_EG,1.0
854,8X7E_EG,6A22_AC,1.0
855,8X7E_EG,6A22_AE,1.0
856,8X7E_EG,6A22_AG,1.0
857,8X7E_EG,6A22_CE,1.0
858,8X7E_EG,6A22_CG,1.0
859,8X7E_EG,6A22_EG,1.0
860,8X7E_EG,6IVX_AC,1.0
861,8X7E_EG,6IVX_AE,1.0
862,8X7E_EG,6IVX_CE,1.0
863,8X7E_EG,6S4N_AB,0.996
864,8X7E_EG,6S4N_AC,0.982
865,8X7E_EG,6S4N_BC,0.9
866,8X7E_EG,6S4N_DA,0.878
867,8X7E_EG,6S4N_DB,1.0
868,8X7E_EG,6S4N_DC,0.996
869,8X7E_EG,7E2O_AB,0.914
