ID,stage,error,details
5N10_A,monomer,No coverage,"No reference meets coverage (80%)[(46.320346320346324, 42.8), (44.15584415584416, 42.32365145228216), (41.99134199134199, 38.03921568627451), (38.961038961038966, 21.73913043478261)]"
5N10_B,monomer,No coverage,"No reference meets coverage (80%)[(44.06779661016949, 41.6), (40.67796610169492, 39.83402489626556), (41.10169491525424, 38.03921568627451), (35.59322033898305, 20.28985507246377)]"
5NI7_A,monomer,No coverage,"No reference meets coverage (80%)[(79.76190476190477, 80.4), (78.96825396825396, 82.57261410788381), (78.57142857142857, 77.64705882352942), (40.87301587301587, 24.879227053140095)]"
5NI8_A,monomer,No coverage,"No reference meets coverage (80%)[(79.36507936507937, 80.0), (79.36507936507937, 82.98755186721992), (78.57142857142857, 77.64705882352942), (41.269841269841265, 25.120772946859905)]"
5NIB_A,monomer,No coverage,"No reference meets coverage (80%)[(79.76190476190477, 80.4), (79.36507936507937, 82.98755186721992), (78.57142857142857, 77.64705882352942), (40.87301587301587, 24.879227053140095)]"
5UAN_A,monomer,No coverage,"No reference meets coverage (80%)[(71.58273381294964, 79.60000000000001), (67.26618705035972, 77.59336099585063), (71.58273381294964, 78.03921568627452), (33.81294964028777, 22.705314009661837)]"
5UAN_B,monomer,No coverage,"No reference meets coverage (80%)[(66.88311688311688, 82.39999999999999), (62.01298701298701, 79.25311203319502), (63.63636363636363, 76.86274509803923), (37.66233766233766, 28.019323671497588)]"
5VB3_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.92277992277992, 85.89211618257261), (77.22007722007721, 78.43137254901961), (40.54054054054054, 25.36231884057971)]"
5VB5_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.53667953667953, 85.47717842323651), (77.60617760617761, 78.82352941176471), (40.54054054054054, 25.36231884057971)]"
5VB6_A,monomer,No coverage,"No reference meets coverage (80%)[(77.22007722007721, 80.0), (79.92277992277992, 85.89211618257261), (77.22007722007721, 78.43137254901961), (40.54054054054054, 25.36231884057971)]"
5VB7_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.15057915057915, 85.06224066390041), (77.22007722007721, 78.43137254901961), (40.92664092664093, 25.60386473429952)]"
5VQL_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.92277992277992, 85.89211618257261), (76.83397683397683, 78.03921568627452), (40.54054054054054, 25.36231884057971)]"
5X0R_B,monomer,No coverage,"No reference meets coverage (80%)[(76.26459143968872, 78.4), (74.31906614785993, 79.25311203319502), (74.70817120622569, 75.29411764705883), (42.023346303501945, 26.08695652173913)]"
5Y7Y_A,monomer,No coverage,"No reference meets coverage (80%)[(41.7910447761194, 33.6), (38.80597014925373, 32.365145228215766), (40.79601990049751, 32.15686274509804), (37.3134328358209, 18.115942028985508)]"
5Y7Y_B,monomer,No coverage,"No reference meets coverage (80%)[(18.250950570342205, 19.2), (19.011406844106464, 20.74688796680498), (18.631178707224336, 19.215686274509807), (30.798479087452474, 19.565217391304348)]"
5YCN_A,monomer,No coverage,"No reference meets coverage (80%)[(78.70722433460075, 82.8), (73.76425855513308, 80.49792531120332), (78.32699619771863, 80.7843137254902), (40.68441064638783, 25.845410628019323)]"
5YCP_A,monomer,No coverage,"No reference meets coverage (80%)[(78.70722433460075, 82.8), (73.76425855513308, 80.49792531120332), (78.32699619771863, 80.7843137254902), (41.06463878326996, 26.08695652173913)]"
5ZOO_G,monomer,No coverage,"No reference meets coverage (80%)[(25.839793281653744, 40.0), (24.289405684754524, 39.004149377593365), (26.873385012919897, 40.78431372549019), (32.299741602067186, 30.193236714975846)]"
5ZOP_G,monomer,No coverage,"No reference meets coverage (80%)[(28.198433420365536, 43.2), (26.370757180156655, 41.90871369294606), (29.50391644908616, 44.31372549019608), (28.720626631853786, 26.570048309178745)]"
6AN1_B,monomer,No coverage,"No reference meets coverage (80%)[(77.07509881422925, 78.0), (77.07509881422925, 80.91286307053942), (75.8893280632411, 75.29411764705883), (41.10671936758894, 25.120772946859905)]"
6BNS_A,monomer,No coverage,"No reference meets coverage (80%)[(70.27972027972028, 80.4), (70.27972027972028, 83.40248962655602), (68.88111888111888, 77.25490196078432), (37.76223776223776, 26.08695652173913)]"
6BNS_B,monomer,No coverage,"No reference meets coverage (80%)[(71.02473498233216, 80.4), (71.37809187279152, 83.81742738589212), (68.55123674911661, 76.07843137254902), (38.515901060070675, 26.32850241545894)]"
6D0Y_C,monomer,No coverage,"No reference meets coverage (80%)[(15.332428765264586, 45.2), (13.025780189959294, 39.83402489626556), (14.111261872455902, 40.78431372549019), (19.26729986431479, 34.29951690821256)]"
6DUP_A,monomer,No coverage,"No reference meets coverage (80%)[(70.92198581560284, 80.0), (70.92198581560284, 82.98755186721992), (69.14893617021278, 76.47058823529412), (41.48936170212766, 28.26086956521739)]"
6DUP_B,monomer,No coverage,"No reference meets coverage (80%)[(71.42857142857143, 80.0), (71.78571428571429, 83.40248962655602), (70.35714285714286, 77.25490196078432), (40.0, 27.053140096618357)]"
6ESN_A,monomer,No coverage,"No reference meets coverage (80%)[(79.36507936507937, 80.0), (79.36507936507937, 82.98755186721992), (78.57142857142857, 77.64705882352942), (41.66666666666667, 25.36231884057971)]"
6HHP_A,monomer,No coverage,"No reference meets coverage (80%)[(47.88135593220339, 45.2), (36.86440677966102, 36.09958506224066), (44.06779661016949, 40.78431372549019), (38.559322033898304, 21.980676328502415)]"
6HJ2_A,monomer,No coverage,"No reference meets coverage (80%)[(72.99270072992701, 80.0), (69.7080291970803, 79.25311203319502), (71.16788321167883, 76.47058823529412), (41.97080291970803, 27.77777777777778)]"
6HKB_A,monomer,No coverage,"No reference meets coverage (80%)[(45.33898305084746, 42.8), (36.86440677966102, 36.09958506224066), (44.49152542372881, 41.17647058823529), (38.13559322033898, 21.73913043478261)]"
6HKF_A,monomer,No coverage,"No reference meets coverage (80%)[(47.88135593220339, 45.2), (36.86440677966102, 36.09958506224066), (44.06779661016949, 40.78431372549019), (38.559322033898304, 21.980676328502415)]"
6HMU_A,monomer,No coverage,"No reference meets coverage (80%)[(47.45762711864407, 44.800000000000004), (36.86440677966102, 36.09958506224066), (44.49152542372881, 41.17647058823529), (38.559322033898304, 21.980676328502415)]"
6HTY_A,monomer,No coverage,"No reference meets coverage (80%)[(67.4496644295302, 80.4), (67.78523489932886, 83.81742738589212), (66.77852348993288, 78.03921568627452), (38.92617449664429, 28.019323671497588)]"
6HTY_B,monomer,No coverage,"No reference meets coverage (80%)[(67.21854304635761, 81.2), (66.88741721854305, 83.81742738589212), (64.23841059602648, 76.07843137254902), (37.41721854304636, 27.294685990338163)]"
6IJR_A,monomer,No coverage,"No reference meets coverage (80%)[(74.37722419928826, 83.6), (69.3950177935943, 80.91286307053942), (74.02135231316726, 81.56862745098039), (40.213523131672595, 27.294685990338163)]"
6IJR_C,monomer,No coverage,"No reference meets coverage (80%)[(74.91166077738515, 84.8), (68.90459363957598, 80.91286307053942), (72.79151943462897, 80.7843137254902), (43.46289752650176, 29.71014492753623)]"
6IJS_A,monomer,No coverage,"No reference meets coverage (80%)[(79.46768060836501, 83.6), (73.76425855513308, 80.49792531120332), (77.9467680608365, 80.3921568627451), (42.20532319391635, 26.811594202898554)]"
6JEY_A,monomer,No coverage,"No reference meets coverage (80%)[(79.76653696498055, 82.0), (75.4863813229572, 80.49792531120332), (79.37743190661479, 80.0), (42.80155642023346, 26.570048309178745)]"
6JEY_B,monomer,No coverage,"No reference meets coverage (80%)[(79.26829268292683, 78.0), (77.23577235772358, 78.83817427385893), (78.04878048780488, 75.29411764705883), (42.27642276422765, 25.120772946859905)]"
6JF0_A,monomer,No coverage,"No reference meets coverage (80%)[(79.76653696498055, 82.0), (75.4863813229572, 80.49792531120332), (78.98832684824903, 79.6078431372549), (41.245136186770424, 25.60386473429952)]"
6K0T_C,monomer,No coverage,"No reference meets coverage (80%)[(77.23880597014924, 82.8), (74.25373134328358, 82.57261410788381), (76.86567164179104, 80.7843137254902), (43.28358208955223, 28.019323671497588)]"
6KTM_A,monomer,No coverage,"No reference meets coverage (80%)[(79.3103448275862, 82.8), (74.71264367816092, 80.91286307053942), (78.544061302682, 80.3921568627451), (41.7624521072797, 26.32850241545894)]"
6KTN_A,monomer,No coverage,"No reference meets coverage (80%)[(78.78787878787878, 83.2), (74.24242424242425, 81.32780082987551), (79.16666666666666, 81.96078431372548), (40.909090909090914, 26.08695652173913)]"
6LO9_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.53667953667953, 85.47717842323651), (76.44787644787645, 77.64705882352942), (40.92664092664093, 25.60386473429952)]"
6LOA_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.92277992277992, 85.89211618257261), (76.83397683397683, 78.03921568627452), (40.92664092664093, 25.60386473429952)]"
6LOB_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.92277992277992, 85.89211618257261), (77.22007722007721, 78.43137254901961), (40.92664092664093, 25.60386473429952)]"
6LOC_A,monomer,No coverage,"No reference meets coverage (80%)[(77.60617760617761, 80.4), (79.92277992277992, 85.89211618257261), (76.83397683397683, 78.03921568627452), (38.996138996138995, 24.396135265700483)]"
6NWS_A,monomer,No coverage,"No reference meets coverage (80%)[(77.99227799227799, 80.80000000000001), (79.92277992277992, 85.89211618257261), (77.22007722007721, 78.43137254901961), (40.92664092664093, 25.60386473429952)]"
6NWU_A,monomer,No coverage,"No reference meets coverage (80%)[(77.22007722007721, 80.0), (79.92277992277992, 85.89211618257261), (76.44787644787645, 77.64705882352942), (39.38223938223938, 24.637681159420293)]"
6NX1_A,monomer,No coverage,"No reference meets coverage (80%)[(70.13888888888889, 80.80000000000001), (70.13888888888889, 83.81742738589212), (68.75, 77.64705882352942), (38.54166666666667, 26.811594202898554)]"
6NX1_B,monomer,No coverage,"No reference meets coverage (80%)[(68.36734693877551, 80.4), (69.04761904761905, 84.23236514522821), (66.66666666666666, 76.86274509803923), (38.435374149659864, 27.294685990338163)]"
6ONI_B,monomer,No coverage,"No reference meets coverage (80%)[(67.43295019157088, 70.39999999999999), (66.66666666666666, 72.19917012448133), (67.43295019157088, 69.01960784313725), (29.50191570881226, 18.59903381642512)]"
6P2B_A,monomer,No coverage,"No reference meets coverage (80%)[(69.55017301038062, 80.4), (69.55017301038062, 83.40248962655602), (68.16608996539793, 77.25490196078432), (40.830449826989614, 28.502415458937197)]"
6P2B_B,monomer,No coverage,"No reference meets coverage (80%)[(71.07142857142857, 79.60000000000001), (72.14285714285714, 83.81742738589212), (69.64285714285714, 76.47058823529412), (40.0, 27.053140096618357)]"
6PDZ_A,monomer,No coverage,"No reference meets coverage (80%)[(70.3125, 72.0), (71.09375, 75.51867219917013), (72.265625, 72.54901960784314), (43.359375, 26.811594202898554)]"
6PDZ_B,monomer,No coverage,"No reference meets coverage (80%)[(67.17557251908397, 70.39999999999999), (67.17557251908397, 73.02904564315352), (67.93893129770993, 69.80392156862744), (40.0763358778626, 25.36231884057971)]"
6R7A_A,monomer,No coverage,"No reference meets coverage (80%)[(79.6812749003984, 80.0), (79.6812749003984, 82.98755186721992), (78.88446215139442, 77.64705882352942), (41.43426294820717, 25.120772946859905)]"
6R7K_A,monomer,No coverage,"No reference meets coverage (80%)[(79.36507936507937, 80.0), (79.36507936507937, 82.98755186721992), (78.57142857142857, 77.64705882352942), (41.269841269841265, 25.120772946859905)]"
6S41_A,monomer,No coverage,"No reference meets coverage (80%)[(71.12676056338029, 80.80000000000001), (70.77464788732394, 83.40248962655602), (69.36619718309859, 77.25490196078432), (40.140845070422536, 27.536231884057973)]"
6S41_B,monomer,No coverage,"No reference meets coverage (80%)[(68.94197952218431, 80.80000000000001), (69.28327645051195, 84.23236514522821), (67.23549488054607, 77.25490196078432), (39.93174061433447, 28.26086956521739)]"
6SQC_A,monomer,No coverage,"No reference meets coverage (80%)[(24.056603773584907, 40.8), (22.87735849056604, 40.24896265560166), (22.169811320754718, 36.86274509803922), (32.54716981132076, 33.33333333333333)]"
6TFI_A,monomer,No coverage,"No reference meets coverage (80%)[(67.78523489932886, 80.80000000000001), (68.12080536912751, 84.23236514522821), (66.77852348993288, 78.03921568627452), (37.58389261744966, 27.053140096618357)]"
6TFI_B,monomer,No coverage,"No reference meets coverage (80%)[(67.55852842809364, 80.80000000000001), (67.89297658862876, 84.23236514522821), (65.21739130434783, 76.47058823529412), (38.79598662207358, 28.019323671497588)]"
6TJM_A,monomer,No coverage,"No reference meets coverage (80%)[(49.34497816593886, 45.2), (37.99126637554585, 36.09958506224066), (47.59825327510917, 42.745098039215684), (39.30131004366812, 21.73913043478261)]"
6TL3_A,monomer,No coverage,"No reference meets coverage (80%)[(50.0, 45.6), (38.15789473684211, 36.09958506224066), (45.614035087719294, 40.78431372549019), (39.473684210526315, 21.73913043478261)]"
6XP9_A,monomer,No coverage,"No reference meets coverage (80%)[(76.31578947368422, 81.2), (75.18796992481202, 82.98755186721992), (73.68421052631578, 76.86274509803923), (40.97744360902256, 26.32850241545894)]"
6XP9_B,monomer,No coverage,"No reference meets coverage (80%)[(75.84905660377359, 80.4), (75.47169811320755, 82.98755186721992), (73.9622641509434, 76.86274509803923), (40.37735849056604, 25.845410628019323)]"
6XXC_A,monomer,No coverage,"No reference meets coverage (80%)[(45.53191489361702, 42.8), (43.829787234042556, 42.738589211618255), (44.680851063829785, 41.17647058823529), (38.72340425531915, 21.980676328502415)]"
6XY5_A,monomer,No coverage,"No reference meets coverage (80%)[(45.95744680851064, 43.2), (42.97872340425532, 41.90871369294606), (44.25531914893617, 40.78431372549019), (38.72340425531915, 21.980676328502415)]"
6XYX_A,monomer,No coverage,"No reference meets coverage (80%)[(60.83333333333333, 29.2), (57.49999999999999, 28.63070539419087), (59.166666666666664, 27.84313725490196), (67.5, 19.565217391304348)]"
6XYX_B,monomer,No coverage,"No reference meets coverage (80%)[(61.34453781512605, 29.2), (57.98319327731093, 28.63070539419087), (61.34453781512605, 28.627450980392155), (68.0672268907563, 19.565217391304348)]"
6XZZ_A,monomer,No coverage,"No reference meets coverage (80%)[(58.06451612903226, 28.799999999999997), (54.83870967741935, 28.21576763485477), (58.87096774193549, 28.627450980392155), (66.93548387096774, 20.048309178743963)]"
6Y17_A,monomer,No coverage,"No reference meets coverage (80%)[(57.36434108527132, 29.599999999999998), (53.48837209302325, 28.63070539419087), (56.58914728682171, 28.627450980392155), (65.89147286821705, 20.531400966183575)]"
6Y17_B,monomer,No coverage,"No reference meets coverage (80%)[(57.692307692307686, 30.0), (53.84615384615385, 29.045643153526974), (56.15384615384615, 28.627450980392155), (63.84615384615384, 20.048309178743963)]"
6Y18_A,monomer,No coverage,"No reference meets coverage (80%)[(45.53191489361702, 42.8), (37.02127659574468, 36.09958506224066), (44.680851063829785, 41.17647058823529), (38.72340425531915, 21.980676328502415)]"
6Y1D_A,monomer,No coverage,"No reference meets coverage (80%)[(47.23404255319149, 44.4), (42.5531914893617, 41.49377593360996), (43.40425531914894, 40.0), (37.02127659574468, 21.014492753623188)]"
6Y3W_A,monomer,No coverage,"No reference meets coverage (80%)[(46.808510638297875, 44.0), (37.02127659574468, 36.09958506224066), (44.680851063829785, 41.17647058823529), (46.38297872340426, 26.32850241545894)]"
6Y58_A,monomer,No coverage,"No reference meets coverage (80%)[(47.03389830508475, 44.4), (37.28813559322034, 36.51452282157676), (44.49152542372881, 41.17647058823529), (38.983050847457626, 22.22222222222222)]"
6YMO_A,monomer,No coverage,"No reference meets coverage (80%)[(45.21739130434783, 41.6), (37.826086956521735, 36.09958506224066), (41.73913043478261, 37.64705882352941), (41.30434782608695, 22.946859903381643)]"
6YMO_B,monomer,No coverage,"No reference meets coverage (80%)[(47.82608695652174, 44.0), (37.826086956521735, 36.09958506224066), (41.30434782608695, 37.254901960784316), (38.26086956521739, 21.256038647342994)]"
6YO8_A,monomer,No coverage,"No reference meets coverage (80%)[(45.65217391304348, 42.0), (44.78260869565218, 42.738589211618255), (42.608695652173914, 38.43137254901961), (40.43478260869565, 22.463768115942027)]"
6YO8_B,monomer,No coverage,"No reference meets coverage (80%)[(46.95652173913044, 43.2), (44.78260869565218, 42.738589211618255), (44.78260869565218, 40.3921568627451), (39.565217391304344, 21.980676328502415)]"
6YO8_C,monomer,No coverage,"No reference meets coverage (80%)[(48.0, 43.2), (45.77777777777778, 42.738589211618255), (47.55555555555556, 41.96078431372549), (44.0, 23.91304347826087)]"
6YO8_D,monomer,No coverage,"No reference meets coverage (80%)[(46.52173913043478, 42.8), (44.34782608695652, 42.32365145228216), (45.21739130434783, 40.78431372549019), (42.173913043478265, 23.42995169082126)]"
6YOS_A,monomer,No coverage,"No reference meets coverage (80%)[(47.767857142857146, 42.8), (45.535714285714285, 42.32365145228216), (45.982142857142854, 40.3921568627451), (37.5, 20.28985507246377)]"
6YOS_B,monomer,No coverage,"No reference meets coverage (80%)[(48.401826484018265, 42.4), (39.726027397260275, 36.09958506224066), (43.83561643835616, 37.64705882352941), (41.0958904109589, 21.73913043478261)]"
7AHJ_A,monomer,No coverage,"No reference meets coverage (80%)[(79.3103448275862, 82.8), (74.32950191570882, 80.49792531120332), (78.9272030651341, 80.7843137254902), (39.08045977011494, 24.637681159420293)]"
7AHJ_B,monomer,No coverage,"No reference meets coverage (80%)[(75.75757575757575, 80.0), (73.48484848484848, 80.49792531120332), (73.10606060606061, 75.68627450980392), (40.15151515151515, 25.60386473429952)]"
7AX8_A,monomer,No coverage,"No reference meets coverage (80%)[(73.16176470588235, 79.60000000000001), (69.48529411764706, 78.42323651452283), (71.69117647058823, 76.47058823529412), (42.279411764705884, 27.77777777777778)]"
7AX9_A,monomer,No coverage,"No reference meets coverage (80%)[(72.62773722627736, 79.60000000000001), (69.7080291970803, 79.25311203319502), (71.8978102189781, 77.25490196078432), (41.97080291970803, 27.77777777777778)]"
7AXA_A,monomer,No coverage,"No reference meets coverage (80%)[(73.16176470588235, 79.60000000000001), (69.48529411764706, 78.42323651452283), (72.05882352941177, 76.86274509803923), (43.38235294117647, 28.502415458937197)]"
7AXB_A,monomer,No coverage,"No reference meets coverage (80%)[(73.52941176470588, 80.0), (69.48529411764706, 78.42323651452283), (72.42647058823529, 77.25490196078432), (42.279411764705884, 27.77777777777778)]"
7AXC_A,monomer,No coverage,"No reference meets coverage (80%)[(75.37878787878788, 79.60000000000001), (71.5909090909091, 78.42323651452283), (72.72727272727273, 75.29411764705883), (40.909090909090914, 26.08695652173913)]"
7AXD_A,monomer,No coverage,"No reference meets coverage (80%)[(73.80073800738008, 80.0), (69.74169741697416, 78.42323651452283), (71.95571955719558, 76.47058823529412), (42.80442804428044, 28.019323671497588)]"
7AXE_A,monomer,No coverage,"No reference meets coverage (80%)[(72.10144927536231, 79.60000000000001), (68.47826086956522, 78.42323651452283), (70.65217391304348, 76.47058823529412), (42.391304347826086, 28.26086956521739)]"
7AXF_A,monomer,No coverage,"No reference meets coverage (80%)[(76.51515151515152, 80.80000000000001), (71.96969696969697, 78.83817427385893), (73.86363636363636, 76.47058823529412), (42.04545454545455, 26.811594202898554)]"
7AXG_A,monomer,No coverage,"No reference meets coverage (80%)[(73.97769516728626, 79.60000000000001), (70.26022304832715, 78.42323651452283), (74.34944237918215, 78.43137254901961), (41.63568773234201, 27.053140096618357)]"
7AXH_A,monomer,No coverage,"No reference meets coverage (80%)[(72.79411764705883, 79.2), (69.48529411764706, 78.42323651452283), (72.05882352941177, 76.86274509803923), (42.279411764705884, 27.77777777777778)]"
7AXI_A,monomer,No coverage,"No reference meets coverage (80%)[(73.52941176470588, 80.0), (69.48529411764706, 78.42323651452283), (71.69117647058823, 76.47058823529412), (42.279411764705884, 27.77777777777778)]"
7AXJ_A,monomer,No coverage,"No reference meets coverage (80%)[(72.82608695652173, 80.4), (68.84057971014492, 78.83817427385893), (70.65217391304348, 76.47058823529412), (42.028985507246375, 28.019323671497588)]"
7AXK_A,monomer,No coverage,"No reference meets coverage (80%)[(73.16176470588235, 79.60000000000001), (69.48529411764706, 78.42323651452283), (70.95588235294117, 75.68627450980392), (42.279411764705884, 27.77777777777778)]"
7AXL_A,monomer,No coverage,"No reference meets coverage (80%)[(72.56317689530685, 80.4), (68.59205776173285, 78.83817427385893), (70.3971119133574, 76.47058823529412), (41.15523465703971, 27.536231884057973)]"
7B9M_A,monomer,No coverage,"No reference meets coverage (80%)[(43.64406779661017, 41.199999999999996), (37.28813559322034, 36.51452282157676), (44.49152542372881, 41.17647058823529), (38.13559322033898, 21.73913043478261)]"
7B9R_A,monomer,No coverage,"No reference meets coverage (80%)[(46.61016949152542, 44.0), (36.86440677966102, 36.09958506224066), (44.06779661016949, 40.78431372549019), (38.13559322033898, 21.73913043478261)]"
7B9T_A,monomer,No coverage,"No reference meets coverage (80%)[(47.88135593220339, 45.2), (37.28813559322034, 36.51452282157676), (44.06779661016949, 40.78431372549019), (38.559322033898304, 21.980676328502415)]"
7BA3_A,monomer,No coverage,"No reference meets coverage (80%)[(47.88135593220339, 45.2), (36.86440677966102, 36.09958506224066), (44.06779661016949, 40.78431372549019), (38.559322033898304, 21.980676328502415)]"
7BA5_A,monomer,No coverage,"No reference meets coverage (80%)[(48.30508474576271, 45.6), (38.559322033898304, 37.75933609958506), (44.49152542372881, 41.17647058823529), (38.559322033898304, 21.980676328502415)]"
7BA6_A,monomer,No coverage,"No reference meets coverage (80%)[(47.88135593220339, 45.2), (38.559322033898304, 37.75933609958506), (44.49152542372881, 41.17647058823529), (38.559322033898304, 21.980676328502415)]"
7BA7_A,monomer,No coverage,"No reference meets coverage (80%)[(48.30508474576271, 45.6), (38.559322033898304, 37.75933609958506), (44.49152542372881, 41.17647058823529), (38.13559322033898, 21.73913043478261)]"
7BA8_A,monomer,No coverage,"No reference meets coverage (80%)[(47.88135593220339, 45.2), (37.28813559322034, 36.51452282157676), (44.49152542372881, 41.17647058823529), (36.86440677966102, 21.014492753623188)]"
7BA9_A,monomer,No coverage,"No reference meets coverage (80%)[(47.45762711864407, 44.800000000000004), (37.28813559322034, 36.51452282157676), (44.49152542372881, 41.17647058823529), (38.559322033898304, 21.980676328502415)]"
7BAA_A,monomer,No coverage,"No reference meets coverage (80%)[(47.88135593220339, 45.2), (36.86440677966102, 36.09958506224066), (44.06779661016949, 40.78431372549019), (38.559322033898304, 21.980676328502415)]"
7BAB_A,monomer,No coverage,"No reference meets coverage (80%)[(48.30508474576271, 45.6), (36.86440677966102, 36.09958506224066), (44.49152542372881, 41.17647058823529), (36.86440677966102, 21.014492753623188)]"
7BPY_A,monomer,No coverage,"No reference meets coverage (80%)[(77.49077490774908, 84.0), (72.69372693726937, 81.74273858921161), (76.01476014760148, 80.7843137254902), (41.69741697416974, 27.294685990338163)]"
7BPY_C,monomer,No coverage,"No reference meets coverage (80%)[(78.19548872180451, 83.2), (72.18045112781954, 79.66804979253112), (78.57142857142857, 81.96078431372548), (41.35338345864661, 26.570048309178745)]"
7BPZ_A,monomer,No coverage,"No reference meets coverage (80%)[(79.24528301886792, 84.0), (74.33962264150942, 81.74273858921161), (78.8679245283019, 81.96078431372548), (44.15094339622642, 28.26086956521739)]"
7BQ0_A,monomer,No coverage,"No reference meets coverage (80%)[(77.4074074074074, 83.6), (72.96296296296296, 81.74273858921161), (76.66666666666667, 81.17647058823529), (41.85185185185185, 27.294685990338163)]"
7BQ0_C,monomer,No coverage,"No reference meets coverage (80%)[(77.85977859778598, 84.39999999999999), (71.21771217712177, 80.08298755186722), (76.75276752767527, 81.56862745098039), (42.80442804428044, 28.019323671497588)]"
7BQ1_A,monomer,No coverage,"No reference meets coverage (80%)[(79.38931297709924, 83.2), (73.66412213740458, 80.08298755186722), (79.77099236641222, 81.96078431372548), (41.98473282442748, 26.570048309178745)]"
7C6Q_A,monomer,No coverage,"No reference meets coverage (80%)[(77.65151515151516, 82.0), (73.10606060606061, 80.08298755186722), (78.78787878787878, 81.56862745098039), (42.42424242424242, 27.053140096618357)]"
7CXF_A,monomer,No coverage,"No reference meets coverage (80%)[(76.83823529411765, 83.6), (72.42647058823529, 81.74273858921161), (76.10294117647058, 81.17647058823529), (37.13235294117647, 24.396135265700483)]"
7CXH_A,monomer,No coverage,"No reference meets coverage (80%)[(76.27737226277372, 83.6), (71.16788321167883, 80.91286307053942), (75.54744525547446, 81.17647058823529), (39.416058394160586, 26.08695652173913)]"
7CXI_A,monomer,No coverage,"No reference meets coverage (80%)[(79.3103448275862, 82.8), (74.71264367816092, 80.91286307053942), (78.544061302682, 80.3921568627451), (39.84674329501915, 25.120772946859905)]"
7CXJ_A,monomer,No coverage,"No reference meets coverage (80%)[(79.92277992277992, 82.8), (74.9034749034749, 80.49792531120332), (78.37837837837837, 79.6078431372549), (41.312741312741316, 25.845410628019323)]"
7CXK_A,monomer,No coverage,"No reference meets coverage (80%)[(78.78787878787878, 83.2), (73.86363636363636, 80.91286307053942), (78.4090909090909, 81.17647058823529), (39.39393939393939, 25.120772946859905)]"
7CXL_A,monomer,No coverage,"No reference meets coverage (80%)[(79.00763358778626, 82.8), (74.42748091603053, 80.91286307053942), (78.2442748091603, 80.3921568627451), (40.0763358778626, 25.36231884057971)]"
7JTW_A,monomer,No coverage,"No reference meets coverage (80%)[(77.22007722007721, 80.0), (79.92277992277992, 85.89211618257261), (77.22007722007721, 78.43137254901961), (40.54054054054054, 25.36231884057971)]"
7N2A_A,monomer,No coverage,"No reference meets coverage (80%)[(73.26007326007326, 80.0), (69.59706959706959, 78.83817427385893), (70.6959706959707, 75.68627450980392), (42.49084249084249, 28.019323671497588)]"
7NFW_A,monomer,No coverage,"No reference meets coverage (80%)[(46.320346320346324, 42.8), (43.722943722943725, 41.90871369294606), (45.45454545454545, 41.17647058823529), (38.961038961038966, 21.73913043478261)]"
7NIZ_A,monomer,No coverage,"No reference meets coverage (80%)[(48.484848484848484, 44.800000000000004), (37.66233766233766, 36.09958506224066), (43.722943722943725, 39.6078431372549), (45.02164502164502, 25.120772946859905)]"
7OBP_A,monomer,No coverage,"No reference meets coverage (80%)[(44.84848484848485, 29.599999999999998), (39.39393939393939, 26.970954356846473), (41.21212121212121, 26.666666666666668), (47.878787878787875, 19.082125603864732)]"
7OBP_B,monomer,No coverage,"No reference meets coverage (80%)[(49.696969696969695, 32.800000000000004), (36.96969696969697, 25.311203319502074), (40.0, 25.882352941176475), (46.666666666666664, 18.59903381642512)]"
7OBP_C,monomer,No coverage,"No reference meets coverage (80%)[(41.81818181818181, 27.6), (38.78787878787879, 26.556016597510375), (41.21212121212121, 26.666666666666668), (46.666666666666664, 18.59903381642512)]"
7OBP_D,monomer,No coverage,"No reference meets coverage (80%)[(48.484848484848484, 32.0), (39.39393939393939, 26.970954356846473), (42.42424242424242, 27.450980392156865), (46.666666666666664, 18.59903381642512)]"
7OBP_E,monomer,No coverage,"No reference meets coverage (80%)[(44.24242424242424, 29.2), (38.78787878787879, 26.556016597510375), (41.81818181818181, 27.058823529411764), (47.878787878787875, 19.082125603864732)]"
7OBP_F,monomer,No coverage,"No reference meets coverage (80%)[(46.540880503144656, 29.599999999999998), (37.735849056603776, 24.896265560165975), (41.509433962264154, 25.882352941176475), (44.65408805031446, 17.14975845410628)]"
7OFI_A,monomer,No coverage,"No reference meets coverage (80%)[(78.96825396825396, 79.60000000000001), (79.36507936507937, 82.98755186721992), (78.57142857142857, 77.64705882352942), (41.66666666666667, 25.36231884057971)]"
7OFK_A,monomer,No coverage,"No reference meets coverage (80%)[(79.36507936507937, 80.0), (79.76190476190477, 83.40248962655602), (78.57142857142857, 77.64705882352942), (41.66666666666667, 25.36231884057971)]"
